Dato,Stand,Kilde
12/25/2020,6513,TSSL
12/24/2020,6509,TSSL
12/23/2020,6506,TSSL
12/22/2020,6503,TSSL
12/21/2020,6499,TSSL
12/20/2020,6495,TSSL
12/19/2020,6490,TSSL
12/18/2020,6486,TSSL
12/17/2020,6482,TSSL
12/16/2020,6478,TSSL
12/15/2020,6474,TSSL
12/14/2020,6469,TSSL
12/13/2020,6464,TSSL
12/12/2020,6459,TSSL
12/11/2020,6456,TSSL
12/10/2020,6449,TSSL
12/09/2020,6445,TSSL
12/08/2020,6435,TSSL
12/07/2020,6433,TSSL
12/06/2020,6432,TSSL
12/05/2020,6430,TSSL
12/04/2020,6428,TSSL
12/03/2020,6423,TSSL
12/02/2020,6421,TSSL
12/01/2020,6417,TSSL
